task_id,token_count
e8686506,2544
20270e3b,2605
28a6681f,2809
dbff022c,3035
7b5033c1,3142
78332cb0,3204
eee78d87,3447
d35bdbdc,3463
3dc255db,3515
4c3d4a41,3551
b0039139,3598
dd6b8c4b,3648
97d7923e,3709
136b0064,3757
bf45cf4b,3824
f931b4a8,3951
2b83f449,4180
16de56c4,4222
31f7f899,4251
291dc1e1,4332
7666fa5d,4526
5545f144,4533
faa9f03d,4668
1818057f,5301
247ef758,5331
6e453dd6,5364
1ae2feb7,5371
b9e38dc0,5389
7491f3cf,5460
f560132c,5610
8f3a5a89,5711
271d71e2,5749
53fb4810,5885
581f7754,5923
45a5af55,5971
446ef5d2,5981
7b3084d4,5995
b6f77b65,6050
409aa875,6127
d59b0160,6127
e376de54,6127
332f06d7,6172
abc82100,6272
9385bd28,6341
135a2760,6372
5dbc8537,6532
db695cfb,6599
65b59efc,6656
6ffbe589,6659
58f5dbd5,6847
c7f57c3e,6946
58490d8a,7035
9bbf930d,7077
db0c5428,7275
4e34c42c,7527
71e489b6,7596
35ab12c3,7783
4a21e3da,7799
7ed72f31,7953
8698868d,7992
800d221b,7997
dfadab01,8012
da515329,8097
80a900e0,8102
898e7135,8137
edb79dae,8140
de809cff,8216
21897d95,8370
38007db0,8457
88bcf3b4,8498
fc7cae8d,8509
89565ca0,8516
a6f40cea,8637
2ba387bc,9097
7b80bb43,9114
269e22fb,9160
7b0280bc,9169
3a25b0d8,9341
8e5c0c38,9467
142ca369,9666
67e490f4,9690
a251c730,9820
36a08778,10095
8b9c3697,10163
cb2d8a2c,10304
2d0172a1,10394
88e364bc,10416
4c416de3,10508
cbebaa4b,10627
2c181942,10685
6e4f6532,10805
b5ca7ac4,10957
a395ee82,10957
a47bf94d,11135
64efde09,11178
8b7bacbf,11601
4c7dc4dd,11675
b10624e5,11676
8f215267,11769
13e47133,11796
aa4ec2a5,12027
e87109e9,12465
c4d067a0,12513
62593bfd,12846
221dfab4,13025
e12f9a14,13381
5961cc34,13742
a25697e4,13874
16b78196,14256
20a9e565,14275
3e6067c3,14392
0934a4d8,14621
a32d8b75,15956
7c66cb00,15969
195c6913,16156
e3721c99,17003
b99e7126,18503
9aaea919,19749
d8e07eb2,24842
981571dc,25242
